loc_id,loc_label,id,wikidata_id,worldcat_id,viaf_id
http://id.loc.gov/authorities/names/n81018362,Kinston,NCG08255,http://www.wikidata.org/entity/Q2048581,http://id.worldcat.org/fast/1348265|http://id.worldcat.org/fast/1211836,http://viaf.org/viaf/sourceID/LC%7Cn++81018362#skos:Concept
http://id.loc.gov/authorities/names/n84055384,Cherokee,NCG02957,http://www.wikidata.org/entity/Q471385,http://id.worldcat.org/fast/1229619,http://viaf.org/viaf/sourceID/LC%7Cn++84055384#skos:Concept
http://id.loc.gov/authorities/names/n82094786,Orange County,NCG11248,http://www.wikidata.org/entity/Q507957,http://id.worldcat.org/fast/1220945,http://viaf.org/viaf/sourceID/LC%7Cn++82094786#skos:Concept
http://id.loc.gov/authorities/names/n84055360,Banner Elk,NCG00617,http://www.wikidata.org/entity/Q1808979,http://id.worldcat.org/fast/1229333,http://viaf.org/viaf/sourceID/LC%7Cn++84055360#skos:Concept
http://id.loc.gov/authorities/names/no2013115496,Eagle Springs,NCG04625,,,http://viaf.org/viaf/sourceID/LC%7Cno2013115496#skos:Concept
http://id.loc.gov/authorities/names/n94001365,Coinjock,NCG03300,http://www.wikidata.org/entity/Q4026228,http://id.worldcat.org/fast/1267828,http://viaf.org/viaf/sourceID/LC%7Cn++94001365#skos:Concept
http://id.loc.gov/authorities/names/n81098938,Spring Hope,NCG14396,,http://id.worldcat.org/fast/1215120,http://viaf.org/viaf/sourceID/LC%7Cn++81098938#skos:Concept
http://id.loc.gov/authorities/names/n80028552,Anson County,NCG00260,http://www.wikidata.org/entity/Q497830,http://id.worldcat.org/fast/1208037,http://viaf.org/viaf/sourceID/LC%7Cn++80028552#skos:Concept
http://id.loc.gov/authorities/names/n79145577,Greene County,NCG06243,http://www.wikidata.org/entity/Q511772,http://id.worldcat.org/fast/1207164,http://viaf.org/viaf/sourceID/LC%7Cn++79145577#skos:Concept
http://id.loc.gov/authorities/names/n80019774,Camp Greene,NCG02436,,http://id.worldcat.org/fast/1759621|http://id.worldcat.org/fast/541417,http://viaf.org/viaf/sourceID/LC%7Cn++80019774#skos:Concept
http://id.loc.gov/authorities/names/n82020166,Chowan County,NCG03098,http://www.wikidata.org/entity/Q943772,http://id.worldcat.org/fast/1218237,http://viaf.org/viaf/sourceID/LC%7Cn++82020166#skos:Concept
http://id.loc.gov/authorities/names/n82020142,Harnett County,NCG06616,http://www.wikidata.org/entity/Q497861,http://id.worldcat.org/fast/1218227,http://viaf.org/viaf/sourceID/LC%7Cn++82020142#skos:Concept
http://id.loc.gov/authorities/names/n82018428,Avery County,NCG00439,http://www.wikidata.org/entity/Q497804,http://id.worldcat.org/fast/1218119,http://viaf.org/viaf/sourceID/LC%7Cn++82018428#skos:Concept
http://id.loc.gov/authorities/names/n82076112,Stoneville,NCG14665,http://www.wikidata.org/entity/Q1829417,http://id.worldcat.org/fast/1220228,http://viaf.org/viaf/sourceID/LC%7Cn++82076112#skos:Concept
http://id.loc.gov/authorities/names/n84136628,Whiteville,NCG16292,http://www.wikidata.org/entity/Q2022318,http://id.worldcat.org/fast/1229776,http://viaf.org/viaf/sourceID/LC%7Cn++84136628#skos:Concept
http://id.loc.gov/authorities/subjects/sh2008007081,Hammocks Beach,NCG06516,,http://id.worldcat.org/fast/1877108,
http://id.loc.gov/authorities/names/n83030409,Conway,NCG03464,http://www.wikidata.org/entity/Q2023705,http://id.worldcat.org/fast/1224376,http://viaf.org/viaf/sourceID/LC%7Cn++83030409#skos:Concept
http://id.loc.gov/authorities/names/n84055383,Chocowinity,NCG03085,http://www.wikidata.org/entity/Q1990446,http://id.worldcat.org/fast/1229575,http://viaf.org/viaf/sourceID/LC%7Cn++84055383#skos:Concept
